Code,Loops,Recursion,Function_Calls,If_Conditions,Complexity
"def constant_time(arr):
    return arr[0] if arr else None",0,0,0,1,O(1)
"def check_first_element(arr):
    if len(arr) > 0:
        return arr[0]
    return None",0,0,0,1,O(1)
"def is_even(num):
    return num % 2 == 0",0,0,0,0,O(1)
"def get_last_element(arr):
    if not arr:
        return None
    return arr[-1]",0,0,0,1,O(1)
"def swap_values(a, b):
    temp = a
    a = b
    b = temp
    return (a, b)",0,0,0,0,O(1)
"def arithmetic_operation(a, b):
    sum_val = a + b
    diff = a - b
    product = a * b
    quotient = a / b if b != 0 else 'undefined'
    return sum_val, diff, product, quotient",0,0,0,1,O(1)
"def check_parity(number):
    if number % 2 == 0:
        return 'even'
    else:
        return 'odd'",0,0,0,1,O(1)
"def get_middle_element(arr):
    if not arr:
        return None
    mid = len(arr) // 2
    return arr[mid]",0,0,0,1,O(1)
"def absolute_value(num):
    if num < 0:
        return -num
    return num",0,0,0,1,O(1)
"def max_of_two(a, b):
    return a if a > b else b",0,0,0,0,O(1)
"def min_of_three(a, b, c):
    min_val = a
    if b < min_val:
        min_val = b
    if c < min_val:
        min_val = c
    return min_val",0,0,0,2,O(1)
"def calculate_area(length, width):
    return length * width",0,0,0,0,O(1)
"def extract_node_value(node):
    if node is None:
        return None
    return node.value",0,0,0,1,O(1)
"def is_power_of_two(n):
    if n <= 0:
        return False
    return (n & (n - 1)) == 0",0,0,0,1,O(1)
"def set_first_element(arr, value):
    if arr:
        arr[0] = value
    return arr",0,0,0,1,O(1)
"def calculate_distance(x1, y1, x2, y2):
    return ((x2 - x1) ** 2 + (y2 - y1) ** 2) ** 0.5",0,0,0,0,O(1)
"def has_common_element(set1, set2):
    return len(set1.intersection(set2)) > 0",0,0,0,0,O(1)
"def are_anagrams(str1, str2):
    return sorted(str1) == sorted(str2)",0,0,0,0,O(1)
"def simple_hash(key, table_size):
    return hash(key) % table_size",0,0,0,0,O(1)
"def is_null_or_empty(value):
    return value is None or value == ''",0,0,0,0,O(1)
"def binary_search(arr, target):
    left, right = 0, len(arr) - 1
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1",1,0,0,2,O(log n)
